1-Feb-12,ESSA,213,Surya Esa Perkasa Tbk,Mining
13-Oct-92,ESTI,214,Ever Shine Textile Industry Tbk,Miscellaneous Industry
16-May-97,ETWA,215,Eterindo Wahanatama Tbk,Basic Industry and Chemicals
29-Sep-05,EXCL,216,PT XL Axiata Tbk,"Infrastructure, Utilities, and Transportation"
11-May-93,FAST,217,Fast Food Indonesia Tbk,"Trade, Service, and Investment"
19-Dec-94,FASW,218,Fajar Surya Wisesa Tbk,Basic Industry and Chemicals
7-Aug-18,FILM,219,PT MD Pictures Tbk.,"Trade, Service, and Investment"
8-Jun-17,FINN,220,PT First Indo American Leasing Tbk.,Finance
9-Jun-17,FIRE,221,PT Alfa Energi Investama Tbk.,Mining
18-Jan-02,FISH,222,FKS Multi Agro Tbk,"Trade, Service, and Investment"
11-Jun-19,FITT,223,PT Hotel Fitra International Tbk,"Trade, Service, and Investment"
30-Jun-00,FMII,224,Fortune Mate Indonesia Tbk,"Property, Real Estate, and Building Construction"
8-Jan-19,FOOD,225,PT Sentra Food Indonesia Tbk.,Consumer Goods industry
17-Jan-04,FORU,226,Fortune Indonesia Tbk,"Trade, Service, and Investment"
28-Apr-17,FORZ,227,PT Forza Land Indonesia Tbk.,"Property, Real Estate, and Building Construction"
21-Mar-02,FPNI,228,PT Lotte Chemical Titan Tbk.,Basic Industry and Chemicals
29-Nov-06,FREN,229,Smartfren Telecom Tbk,"Infrastructure, Utilities, and Transportation"
9-Jul-19,FUJI,230,PT Fuji Finance Indonesia Tbk.,Finance
11-Jul-12,GAMA,231,Gading Development Tbk,"Property, Real Estate, and Building Construction"
23-Dec-09,GDST,232,Gunawan Dianjaya Steel Tbk,Basic Industry and Chemicals
22-Dec-80,GDYR,233,Goodyear Indonesia Tbk,Miscellaneous Industry
12-Aug-02,GEMA,234,Gema Grahasarana Tbk,"Trade, Service, and Investment"
17-Nov-11,GEMS,235,Golden Energy Mines Tbk,Mining
27-Aug-90,GGRM,236,Gudang Garam Tbk,Consumer Goods industry
